German Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
ernten;0;0;0;0;0;0;0;0;0;0
Ernüchterung;0;1;1;0;1;0;0;1;0;0
erobern;0;0;0;0;0;0;0;0;0;0
Eroberung;0;1;1;0;0;1;0;0;0;0
erodieren;0;0;0;0;0;0;0;0;0;0
eröffnen;0;0;0;0;0;0;0;0;0;0
Eröffnung;0;0;0;0;0;0;0;0;0;0
Eröffnungs;0;0;0;1;0;0;0;0;0;0
Erosion;0;1;0;0;0;0;0;0;0;0
erotisch;1;1;0;1;0;0;1;0;1;1
Erpel;0;0;0;0;0;0;0;0;0;0
Erpressung;0;1;1;0;0;1;0;0;0;0
errant;0;1;0;0;0;0;0;0;0;0
Erratum;0;1;0;0;0;0;0;0;0;0
erregbar;1;0;0;0;0;0;0;0;0;0
Erregbarkeit;0;0;0;0;0;0;0;0;0;0
erregen;1;0;1;1;0;1;1;0;1;0
Erregung;0;0;0;0;0;0;0;0;0;0
Erregung;1;0;1;1;0;1;1;0;1;0
erreichbar;1;0;0;1;0;0;0;0;0;0
erreichen;1;0;0;0;0;0;1;0;0;0
erreichen;1;0;0;0;0;0;1;0;0;1
erreichen;0;0;0;0;0;0;0;0;0;0
erreichen;0;0;0;0;0;0;0;0;0;0
Erreichung;1;0;0;0;0;0;0;0;0;0
erröten;0;1;0;0;0;0;0;0;0;0
Erröten;0;0;0;0;0;0;0;0;0;0
Ersatz;0;0;0;0;0;0;0;0;0;0
Ersatz;0;0;0;0;0;0;0;0;0;0
Erscheinung;0;0;0;0;0;1;0;0;1;0
Erscheinung;0;0;0;0;0;0;0;0;0;0
erschlagen;0;1;1;0;0;0;0;0;0;0
erschöpfend;0;0;0;0;0;0;0;0;0;1
erschöpft;0;1;0;0;0;0;0;1;0;0
Erschöpfung;0;1;0;1;0;0;0;1;0;0
erschrecken;0;1;0;0;0;1;0;1;1;0
erschrecken;0;1;0;0;0;1;0;0;1;0
erschrocken;0;1;0;0;0;1;0;0;1;0
erschütternd;0;1;0;0;0;1;0;0;0;0
erschüttert;0;0;0;0;0;0;0;0;0;0
erschwerend;0;1;1;0;0;0;0;1;0;0
ersetzen;0;0;0;0;0;0;0;0;0;0
ersetzen;0;0;0;0;0;0;0;0;0;0
ersinnen;0;0;0;0;0;0;0;0;0;0
Ersparnisse;1;0;0;0;0;0;0;0;0;0
erst;0;0;0;0;0;0;0;0;0;0
erstarren;0;0;0;0;0;0;0;0;0;0
erstatten;1;0;0;0;0;0;0;0;0;0
Erstaunen;1;0;0;0;0;0;1;0;1;0
erstaunlich;1;0;0;0;0;0;1;0;1;0
erstaunlich;1;0;0;0;0;0;0;0;1;0
erstaunt;0;0;0;0;0;0;0;0;0;0
Erstgeborene;1;0;0;1;0;0;1;0;0;1
Ertrag;0;0;0;0;0;0;0;0;0;0
ertragen;1;0;0;0;0;0;0;0;0;0
ertrinken;0;1;0;0;0;1;0;1;0;0
erwachsen;0;0;0;0;0;0;0;0;0;0
Erwachsene;0;0;0;0;0;0;0;0;0;0
erwarten;1;0;0;1;0;0;0;0;1;1
erwartet;0;0;0;1;0;0;0;0;0;0
erwartet;0;0;0;1;0;0;0;0;0;0
Erwartung;0;0;0;1;0;0;0;0;0;0
Erwartung;0;0;0;1;0;0;0;0;0;0
Erwartung;1;0;0;1;0;0;0;0;0;0
erwartungsvoll;0;0;0;1;0;0;0;0;0;0
erweiterbar;0;0;0;0;0;0;0;0;0;0
erweitern;0;0;0;0;0;0;0;0;0;0
erweitern;1;0;0;0;0;0;0;0;0;0
erweitern;0;0;0;0;0;0;0;0;0;0
Erweiterung;0;0;0;0;0;0;0;0;0;0
Erweiterung;0;0;0;0;0;0;0;0;0;0
Erweiterung;0;0;0;0;0;0;0;0;0;0
Erweiterung;0;0;0;0;0;0;0;0;0;0
Erweiterung;0;0;0;0;0;0;0;0;0;0
Erwerb;1;0;0;1;0;0;0;0;0;0
Erwerb;0;0;0;0;0;0;0;0;0;0
erwerben;1;0;0;0;0;0;0;0;0;0
erwidern;1;0;0;0;0;0;0;0;0;0
Erwünschtheit;0;0;0;0;0;0;0;0;0;0
Erz;0;0;0;0;0;0;0;0;0;0
erzählen;0;0;0;0;0;0;0;0;0;0
erzählen;0;0;0;0;0;0;0;0;0;0
Erzählen;0;0;0;0;0;0;0;0;0;0
Erzähler;0;0;0;0;0;0;0;0;0;0
Erzähler;0;0;0;0;0;0;0;0;0;0
Erzählung;0;0;0;0;0;0;0;0;0;0
Erzählung;0;0;0;0;0;0;0;0;0;0
Erzbischof;0;0;0;0;0;0;0;0;0;0
erzeugen;0;0;0;0;0;0;0;0;0;0
erziehen;1;0;0;0;0;0;0;0;0;0
Erziehung;1;0;1;1;1;1;1;0;0;1
erzwingen;1;1;1;0;0;1;0;0;0;0
escalade;0;0;0;0;0;0;0;0;0;0
Esel;0;1;0;0;1;0;0;0;0;0
Esel;0;0;0;0;0;0;0;0;0;0
Eselin;0;0;0;0;0;0;0;0;0;0
eskalieren;0;1;1;0;0;0;0;0;0;0
esoterisch;0;0;0;0;0;0;0;0;0;0
Esprit;1;0;0;0;0;0;0;0;0;0
Essayist;0;0;0;0;0;0;0;0;0;0
essbar;0;0;0;0;0;0;0;0;0;0
essen;1;0;0;0;0;0;0;0;0;0
Essen;0;0;0;0;0;0;0;0;0;0
Essig;0;0;0;0;0;0;0;0;0;0
Essiggurke;0;1;0;0;0;0;0;0;0;0
Essigsäure;0;0;0;0;0;0;0;0;0;0
Esslöffel;0;0;0;0;0;0;0;0;0;0
estoppel;0;0;0;0;0;0;0;0;0;0
etabliert;1;0;0;0;0;0;1;0;0;0
Ethanol;0;0;0;0;0;0;0;0;0;0
Ethik;1;0;0;0;0;0;0;0;0;0
ethisch;1;0;0;0;0;0;0;0;0;0
Ethnographie;0;0;0;0;0;0;0;0;0;0
Etikette;0;0;0;0;0;0;0;0;0;0
Etikette;0;0;0;0;0;0;0;0;0;1
Etymologie;0;0;0;0;0;0;0;0;0;0
Et-Zeichen;0;0;0;0;0;0;0;0;0;0
euchre;0;0;0;0;0;0;0;0;0;0
Eugenetik;0;0;0;0;0;0;0;0;0;0
Euphemismus;0;0;0;0;0;0;0;0;0;0
Euthanasie;0;1;0;0;0;1;0;1;0;0
evakuieren;0;1;0;0;0;1;0;0;0;0
Evakuierung;0;1;0;0;0;0;0;0;0;0
evangelisch;0;0;0;0;0;0;0;0;0;0
Evangelist;0;0;0;0;0;0;0;0;0;0
evangelistischen;0;0;0;0;0;0;0;0;0;0
Evangelium;1;0;0;0;0;0;0;0;0;1
ewig;0;0;0;0;0;0;0;0;0;0
ewig;1;0;0;0;0;0;0;0;0;0
ewig;0;0;0;0;0;0;0;0;0;0
Ewigkeit;0;0;0;0;0;0;0;0;0;0
Exaltation;1;0;0;0;0;0;1;0;0;1
Exazerbation;0;1;1;0;0;1;0;0;0;0
Exegese;0;0;0;0;0;0;0;0;0;0
Exekutive;0;0;0;0;0;0;0;0;0;0
Exemplar;0;0;0;0;0;0;0;0;0;0
Exil;0;1;1;0;0;1;0;1;0;0
existent;0;0;0;0;0;0;0;0;0;0
Existenz;1;0;0;0;0;0;0;0;0;0
existieren;0;0;0;0;0;0;0;0;0;0
exorbitant;0;0;0;0;0;0;0;0;0;0
Exorzismus;0;1;0;0;0;1;0;1;0;0
exotisch;1;0;0;0;0;0;0;0;0;0
expansiv;0;0;0;0;0;0;0;0;0;0
Expatriate;0;1;0;0;0;0;0;0;0;0
Expedition;1;0;0;1;0;0;0;0;0;0
Experiment;0;0;0;1;0;0;0;0;1;0
Experimental-;0;0;0;0;0;0;0;0;0;0
Experimentator;0;0;0;0;0;0;0;0;0;0
Experte;1;0;0;0;0;0;0;0;0;1
explodieren;0;1;1;0;0;1;0;1;1;0
Explosion;0;1;1;0;0;1;0;0;1;0
Explosion;0;0;1;0;0;0;0;0;0;0
Explosion;0;1;0;0;0;1;0;0;1;0
explosiv;0;1;1;1;0;1;0;0;1;0
Exponent;0;0;0;0;0;0;0;0;0;0
exponentiell;0;0;0;0;0;0;0;0;0;0
Export;0;0;0;0;0;0;0;0;0;0
express;0;0;0;0;0;0;0;0;0;0
exquisit;1;0;0;0;0;0;1;0;0;0
extra;1;0;0;0;0;0;0;0;0;0
Extrahieren;0;0;0;0;0;0;0;0;0;0
Extrakt;0;0;0;0;0;0;0;0;0;0
Extraktion;0;0;0;0;0;0;0;0;0;0
extramuralen;0;0;0;0;0;0;0;0;0;0
Extravaganz;0;0;0;0;0;0;0;0;0;0
Extrem;0;0;0;0;0;0;0;0;0;0
Extremität;0;1;0;0;0;0;0;0;0;0
Extrusions;0;0;0;0;0;0;0;0;0;0
Exzenter;0;0;0;0;0;0;0;0;0;0
Exzentrizität;0;0;0;0;0;0;0;0;0;0
EZB-;0;0;0;0;0;0;0;0;0;0
Fabel;0;0;0;0;0;0;0;0;0;0
Fabrik;0;0;0;0;0;0;0;0;0;0
fabrizieren;0;1;0;0;0;0;0;0;0;0
Facette;0;0;0;0;0;0;0;0;0;0
Fach;0;0;0;0;0;0;0;0;0;0
Fach-;1;0;0;0;0;0;0;0;0;0
Fachberatung;0;0;0;0;0;0;0;0;0;0
Fachbereiche;0;0;0;0;0;0;0;0;0;0
Fachkenntnisse;1;0;0;0;0;0;0;0;0;1
Fachzeitschrift;0;0;0;0;0;0;0;0;0;0
Fackel;0;0;0;0;0;0;0;0;0;0
Fackel;0;0;0;0;0;0;0;0;0;0
fade;0;1;0;0;0;0;0;0;0;0
fade;0;1;0;0;0;0;0;0;0;0
Faden;0;0;0;0;0;0;0;0;0;0
Fagott;0;0;0;0;0;0;0;0;0;0
fähig;0;0;0;0;0;0;0;0;0;0
Fähigkeit;1;0;0;0;0;0;0;0;0;0
Fähigkeit;0;0;0;0;0;0;0;0;0;0
fahl;0;1;0;0;0;1;0;1;0;0
Fahnenflucht;0;1;0;0;0;0;0;0;0;0
Fähnrich;1;0;0;0;0;0;0;0;0;0
Fahrbahn;0;0;0;0;0;0;0;0;0;0
Fähre;0;0;0;0;0;0;0;0;0;0
Fahrer;0;0;0;0;0;0;0;0;0;0
fahrlässig;0;1;0;0;0;0;0;0;0;0
fahrlässig;0;1;0;0;0;0;0;0;0;0
Fahrlässigkeit;0;1;0;0;0;0;0;0;0;0
Fahrpreis;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0
Fahrrinne;0;0;0;0;0;0;0;0;0;0
Fahrt;1;0;0;1;0;1;1;0;0;0
Fahrt;0;0;0;0;0;0;0;0;0;0
Fahrt;0;0;0;0;0;0;0;0;1;0
Fahrt;0;0;0;1;0;0;0;0;0;0
Fahrzeug;0;0;0;0;0;0;0;0;0;0
fain;1;0;0;1;0;0;1;0;0;1
fair;1;0;0;0;0;0;0;0;0;0
fäkal;0;1;0;0;1;0;0;0;0;0
Fäkalien;0;1;0;0;1;0;0;0;0;0
Faksimile;0;0;0;0;0;0;0;0;0;0
Fakten;1;0;0;0;0;0;0;0;0;1
Faktor;0;0;0;0;0;0;0;0;0;0
Fakultät;1;0;0;0;0;0;0;0;0;1
fakultativ;1;0;0;0;0;0;0;0;0;0
Falke;0;0;0;0;0;1;0;0;0;0
Falkenjagd;0;0;0;0;0;0;0;0;0;0
Fall;0;1;0;0;0;1;0;1;0;0
Fall;0;0;0;1;0;1;0;0;0;0
Falle;0;0;0;0;0;0;0;0;0;0
fallen;0;0;0;0;0;0;0;0;0;0
fallen;0;1;0;0;0;0;0;1;0;0
Fallen;0;1;0;0;0;0;0;0;0;0
fallen;0;1;0;0;0;0;0;0;0;0
fällig;0;0;0;0;0;0;0;0;0;0
Falls;0;1;1;0;1;1;0;1;0;0
Fallschirm;0;0;0;0;0;1;0;0;0;0
falsch;0;1;1;0;1;0;0;0;0;0
falsch;0;1;0;0;0;0;0;0;0;0
falsch;0;1;0;0;0;0;0;0;0;0
falsch;0;1;0;0;0;1;0;0;0;0
falsch;0;1;0;0;0;0;0;0;0;0
falsch dargestellt;0;1;1;0;0;0;0;0;0;0
falsch darstellen;0;1;0;0;0;0;0;0;0;0
falsch informiert;0;0;0;0;0;0;0;0;0;0
falsche Darstellung;0;1;0;0;0;0;0;1;0;0
falsche Darstellung;0;1;1;0;1;0;0;0;0;0
Falschheit;0;1;0;0;1;0;0;0;0;0
fälschlicherweise;0;1;0;0;0;0;0;0;0;0
Fälschung;0;1;0;0;0;0;0;0;0;0
Fälschung;0;1;1;0;0;0;0;0;0;0
Fälschung;0;1;0;0;0;0;0;0;0;0
Falte;0;0;0;0;0;0;0;0;0;0
Falte;0;0;0;0;0;0;0;0;0;0
falten;0;0;0;0;0;0;0;0;0;0
faltig;0;0;0;0;0;0;0;1;0;0
famos;1;0;0;0;0;0;0;0;0;0
Fanatiker;0;1;0;0;0;0;0;0;0;0
Fanatismus;0;0;0;0;0;1;0;0;0;0
Fandango;0;0;0;0;0;0;0;0;0;0
Fanfare;1;0;0;1;0;0;1;0;1;0
Fang;0;0;0;0;0;0;0;0;1;0
Fänger;0;1;0;0;0;1;0;0;0;0
Fanning;0;0;0;0;0;0;0;0;0;0
Fantasie;0;0;0;0;0;0;0;0;0;0
Fantasie;0;0;0;0;0;0;0;0;0;0
Farbe;0;0;0;0;0;0;0;0;0;0
Farbe;0;0;0;0;0;0;0;0;0;0
Farben;0;0;0;0;0;0;0;0;0;0
farbig;0;0;0;0;0;0;0;0;0;0
farblos;0;0;0;0;0;0;0;0;0;0
Farbstoff;0;0;0;0;0;0;0;0;0;0
Farbton;0;0;0;0;0;0;0;0;0;0
Färbung;0;0;0;0;0;0;0;0;0;0
Färbung;0;0;0;0;0;0;0;0;0;0
Farce;0;1;0;0;0;0;0;0;0;0
Farn;0;0;0;0;0;0;0;0;0;0
faro;0;0;0;0;0;0;0;0;0;0
Färse;0;0;0;0;0;0;0;0;0;0
Fase;0;0;0;0;0;0;0;0;0;0
Faser;0;0;0;0;0;0;0;0;0;0
faserig;0;0;0;0;0;0;0;0;0;0
Fass;0;0;0;0;0;0;0;0;0;0
Fass;0;0;0;0;0;0;0;0;0;0
Fass;0;0;0;0;0;0;0;0;0;0
Fass;0;0;0;0;0;0;0;0;0;0
Fassade;0;0;0;0;0;0;0;0;0;0
fassen;0;0;0;0;0;1;0;0;0;0
Fasten;0;1;0;0;0;0;0;1;0;0
Faszie;0;0;0;0;0;0;0;0;0;0
Faszination;1;0;0;0;0;0;0;0;0;0
faszinierend;1;0;0;0;0;0;0;0;0;0
faszinierend;0;0;0;0;0;0;0;0;0;0
Fasziniert;1;1;0;0;0;0;1;0;0;0
Fata Morgana;0;0;0;0;0;0;0;0;0;0
fatal;0;1;1;0;0;1;0;1;0;0
faul;0;0;0;0;0;0;0;0;0;0
faul;0;1;0;0;0;0;0;0;0;0
Fäulnis;0;1;0;0;1;1;0;1;0;0
Faultier;0;1;0;0;1;0;0;0;0;0
Fauna;0;0;0;0;0;0;0;0;0;0
Faust;0;0;0;0;0;0;0;0;0;0
Favorit;1;0;0;0;0;0;1;0;0;1
Feature;1;0;0;0;0;0;0;0;0;0
Feder;0;0;0;0;0;0;0;0;0;0
Federbusch;0;0;0;0;0;0;0;0;0;0
Federung;0;1;0;0;0;1;0;0;0;0
Fee;0;0;0;0;0;0;0;0;0;0
Fegefeuer;0;1;0;0;1;1;0;0;0;0
Fehde;0;1;1;0;0;0;0;0;0;0
Fehlanpassung;0;1;0;0;0;0;0;0;0;0
fehlbar;0;1;0;0;0;0;0;0;0;0
Fehlbezeichnung;0;1;0;0;0;0;0;0;0;0
Fehler;0;1;0;0;1;1;0;0;0;0
Fehler;0;1;0;0;0;0;0;1;0;0
Fehler;0;1;1;1;0;1;0;1;0;0
Fehler;0;1;0;0;0;0;0;1;0;0
Fehler;0;1;0;0;0;0;0;1;0;0
Fehler;0;1;0;0;0;0;0;1;0;0
fehlerhaft;0;1;0;0;1;0;0;0;0;0
fehlerhaft;0;1;0;0;0;0;0;0;0;0
Fehlgeburt;0;1;0;0;0;1;0;1;0;0
Fehlinterpretation;0;1;0;0;0;0;0;0;0;0
fehlt;0;1;0;0;0;0;0;0;0;0
fehlt;0;1;0;0;0;1;0;1;0;0
Fehlverhalten;0;1;1;0;1;0;0;1;0;0
Fehlzündung;0;0;0;0;0;0;0;0;0;0
Feier;1;0;0;1;0;0;1;0;1;1
feiern;1;0;0;1;0;0;1;0;0;0
feige;0;1;0;0;0;1;0;0;0;0
Feigheit;0;1;0;0;0;1;0;0;0;0
Feigling;0;1;0;0;1;1;0;1;0;0
feilschen;0;0;0;0;0;0;0;0;0;0
Feilstaub;0;0;0;0;0;0;0;0;0;0
Feind;0;1;1;0;1;1;0;0;0;0
Feind;0;1;1;0;0;1;0;0;0;0
feindlich;0;1;1;0;1;1;0;0;0;0
feindlich;0;1;1;0;0;0;0;1;0;0
Feindschaft;0;1;1;0;0;1;0;1;0;0
Feindseligkeit;0;1;1;0;1;1;0;1;0;0
Feindseligkeit;0;1;1;0;1;0;0;0;0;0
Feindseligkeiten;0;1;1;0;0;1;0;0;0;0
Feld;1;0;0;0;0;0;0;0;0;0
Feldlager;0;0;0;0;0;0;0;0;0;0
Felsblock;0;0;0;0;0;0;0;0;0;0
Felsspalte;0;0;0;0;0;0;0;0;0;0
Feministin;0;0;0;0;0;0;0;0;0;0
fen;0;0;0;0;0;0;0;0;0;0
Fenchel;0;0;0;0;0;0;0;0;0;0
Fenster;0;0;0;0;0;0;0;0;0;0
Fensterbrett;0;0;0;0;0;0;0;0;0;0
Ferment;0;1;0;1;0;0;0;0;0;0
Fermentation;0;0;0;1;0;0;0;0;0;0
fern;0;0;0;0;0;0;0;0;0;0
Fernglas;0;0;0;0;0;0;0;0;0;0
Fernglas;0;0;0;0;0;0;0;0;0;0
Fernsehen;0;0;0;0;0;0;0;0;0;0
Ferse;0;1;0;0;0;0;0;0;0;0
Fertig;0;0;0;0;0;0;0;0;0;0
fertiggestellt;0;0;0;0;0;0;0;0;0;0
Fesseln;0;1;0;0;0;0;0;0;0;0
fesselnd;0;0;0;0;0;0;0;0;0;0
Fest;1;0;0;1;0;0;1;0;1;0
fest;0;0;0;0;0;0;0;0;0;0
fest;0;0;0;0;0;0;0;0;0;1
Festhalten;0;0;0;0;0;0;0;0;0;0
festhalten;0;0;0;0;0;0;0;0;0;0
festhalten;0;1;0;0;0;0;0;0;0;0
Festigkeit;1;0;0;0;0;0;0;0;0;1
Festigkeit;1;0;0;0;0;0;0;0;0;1
Festigung;0;0;0;0;0;0;0;0;0;0
Festival;1;0;0;1;0;0;1;0;1;0
Festland;0;0;0;0;0;0;0;0;0;0
festlich;1;0;0;0;0;0;1;0;0;0
Festnahme;0;1;0;0;0;0;0;0;0;0
Feststellungs;1;0;0;0;0;0;0;0;0;0
Festung;0;0;0;0;0;0;0;0;0;1
Festung;1;0;0;0;0;1;0;1;0;1
Festzelt;0;0;0;0;0;0;0;0;0;0
Festzug;0;0;0;0;0;0;0;0;0;0
Fetisch;0;0;0;0;0;0;0;0;0;0
fett;0;1;0;0;0;0;0;0;0;0
fett;1;0;0;0;0;0;0;0;0;0
Fett;0;1;0;0;1;0;0;1;0;0
Fett;0;0;0;0;0;0;0;0;0;0
Fett-;0;1;0;0;1;0;0;1;0;0
fettleibig;0;1;0;0;1;0;0;0;0;0
Fettleibigkeit;0;1;0;0;1;0;0;1;0;0
feucht;0;0;0;0;0;0;0;0;0;0
feucht;0;0;0;0;0;0;0;0;0;0
feucht;0;0;0;0;0;0;0;0;0;0
Feuchtigkeit;0;0;0;0;0;0;0;0;0;0
feudal;0;1;0;0;0;0;0;0;0;0
Feudalismus;0;1;1;0;0;0;0;1;0;0
Feuer;1;0;0;0;0;0;0;0;0;0
Feuer;0;1;1;0;0;0;0;0;0;0
Feuer;0;0;0;0;0;0;0;0;0;0
Feuer;0;0;0;0;0;1;0;0;0;0
Feuerball;1;0;0;0;0;0;0;0;0;0
feuerfest;1;0;0;0;0;0;0;0;0;0
Feuersbrunst;0;1;1;0;0;1;0;0;0;0
Feuerstein;0;0;0;0;0;0;0;0;0;0
Feuerstelle;1;0;0;0;0;0;0;0;0;0
Feuerwehrmann;0;0;0;0;0;0;0;0;0;1
Feuerwerk;0;0;0;0;0;0;0;0;0;0
feurig;1;0;0;1;0;0;1;0;0;0
Fiasko;0;1;0;0;0;0;0;0;0;0
fiat;0;0;0;0;0;0;0;0;0;0
Fieber;0;0;0;0;0;1;0;0;0;0
fiebrig;0;1;0;0;0;0;0;0;0;0
fiebrig;0;1;0;0;0;0;0;0;0;0
fiel;0;1;0;0;0;0;0;1;0;0
fiesta;1;0;0;1;0;0;1;0;1;1
figurine;0;0;0;0;0;0;0;0;0;0
figürlich;0;0;0;0;0;0;0;0;0;0
Fiktion;0;0;0;0;0;0;0;0;0;0
Fiktion;0;0;0;0;0;0;0;0;0;0
fiktiv;0;1;0;0;0;0;0;0;0;0
fiktiv;0;0;0;0;0;0;0;0;0;0
Filet;0;0;0;0;0;0;0;0;0;0
Filigran;0;0;0;0;0;0;0;0;0;0
Film;0;0;0;0;0;0;0;0;0;0
Film;0;0;0;0;0;0;0;0;0;0
Filter;0;0;0;0;0;0;0;0;0;0
Filz;0;0;0;0;0;0;0;0;0;0
Finale;0;0;0;0;0;0;0;0;0;0
Finanz-;0;0;0;0;0;0;0;0;0;0
Finanzen;0;0;0;0;0;0;0;0;0;0
Finanzier;0;0;0;0;0;0;0;0;0;0
finden;0;0;0;0;0;0;0;0;0;0
Finesse;1;0;0;0;0;0;0;0;0;0
Finger;0;0;0;0;0;0;0;0;0;0
Fingerabdruck;0;0;0;0;0;0;0;0;0;0
Fingerhut;0;0;0;0;0;0;0;0;0;0
fingern;0;1;0;0;0;0;0;0;0;0
Fink;0;0;0;0;0;0;0;0;0;0
fink;0;0;0;0;0;0;0;0;0;0
Firma;0;0;0;0;0;0;0;0;0;0
Firmament;0;0;0;0;0;0;0;0;0;0
Firmen-;0;0;0;0;0;0;0;0;0;0
Fisch;0;0;0;0;0;0;0;0;0;0
Fischer;0;0;0;0;0;0;0;0;0;0
Fischerei;0;0;0;0;0;0;0;0;0;0
Fischerei;0;0;0;0;0;0;0;0;0;0
Fissur;0;0;0;0;0;0;0;0;0;0
Fistel;0;0;0;0;0;0;0;0;0;0
Fitness;0;0;0;0;0;0;0;0;0;0
fits;0;1;1;0;0;0;0;0;0;0
Fixierung;0;0;0;0;0;0;0;0;0;0
Flackern;0;0;0;0;0;0;0;0;0;0
Flaggschiff;0;0;0;0;0;0;0;0;0;1
flagrant;0;1;1;0;1;0;0;0;0;0
Flamme;0;0;0;0;0;0;0;0;0;0
Flanell;0;0;0;0;0;0;0;0;0;0
Flanke;0;0;0;0;0;0;0;0;0;0
flankierenden;0;0;0;0;0;0;0;0;0;0
flankiert;0;0;0;0;0;0;0;0;0;0
Flansch;0;0;0;0;0;0;0;0;0;1
Flasche;0;0;0;0;0;0;0;0;0;0
Flasche;0;0;0;0;0;0;0;0;0;0
Flaschenzug;0;0;0;0;0;0;0;0;0;0
Flattern;0;0;0;0;0;0;0;0;0;0
Flatulenz;0;1;0;0;1;0;0;0;0;0
Flaum;0;0;0;0;0;0;0;0;0;0
Flaum;0;0;0;0;0;0;0;0;0;0
flaumig;1;0;0;0;0;0;0;0;0;0
flaumig;0;0;0;0;0;0;0;0;0;0
Flaute;0;1;0;0;0;0;0;1;0;0
Flaute;0;0;0;1;0;0;0;0;0;0
Flechte;0;0;0;0;0;0;0;0;0;0
Fleck;0;1;0;0;0;0;0;0;0;0
Fleck;0;1;0;0;1;0;0;0;0;0
Fleck;0;1;0;0;1;0;0;0;0;0
Flegel;0;1;0;0;0;0;0;0;0;0
flehen;0;0;0;0;0;0;0;0;0;0
Flehen;1;0;0;0;0;0;0;0;0;1
Fleisch;0;0;0;0;1;0;0;0;0;0
Fleisch;0;0;0;0;0;0;0;0;0;0
Fleisch fressend;0;1;0;0;0;1;0;0;0;0
fleischig;0;1;0;0;0;0;0;0;0;0
fleischlich;0;1;0;0;0;0;0;0;0;0
fleißig;0;0;0;0;0;0;0;0;0;0
fleißig;0;0;0;0;0;0;0;0;0;0
flexibel;0;0;0;0;0;0;0;0;0;0
Flexibilität;1;0;0;0;0;0;0;0;0;0
Flexion;0;0;0;0;0;0;0;0;0;0
Flexion;0;0;0;0;0;0;0;0;0;0
flicken;0;0;0;0;0;0;0;0;0;0
Flicken;0;1;0;0;0;0;0;0;0;0
Flieder;0;0;0;0;0;0;0;0;0;0
fliegen;0;0;0;0;0;0;0;0;0;0
fliegend;1;0;0;0;0;1;0;0;0;0
Flieger;0;0;0;0;0;0;0;0;0;0
Flieger;0;0;0;0;0;0;0;0;0;0
Flieger;0;0;0;0;0;0;0;0;0;0
Flieger;0;0;0;0;0;0;0;0;0;0
fliehen;0;1;0;0;0;1;0;0;0;0
Fliese;0;0;0;0;0;0;0;0;0;0
fließen;1;0;0;0;0;0;0;0;0;0
Flimmern;0;0;0;0;0;0;0;0;0;0
flink;0;0;0;0;0;0;0;0;0;0
Flirt;1;1;0;1;0;0;1;0;1;1
Flirten;0;0;0;0;0;0;0;0;0;0
Flitterwochen;1;0;0;1;0;0;1;0;1;1
Flocke;0;1;0;0;0;0;0;0;0;0
flockig;0;0;0;0;0;0;0;0;0;0
Floh;0;1;0;0;1;0;0;0;0;0
floh;0;0;0;0;0;1;0;0;0;0
Flora;0;0;0;0;0;0;0;0;0;0
Floß;0;0;0;0;0;0;0;0;0;0
Flosse;0;0;0;0;0;0;0;0;0;0
Flosse;0;0;0;0;0;0;0;0;0;0
Flöte;0;0;0;0;0;0;0;0;0;0
Flotte;1;0;0;0;0;0;0;0;0;0
Fluch;0;1;1;0;1;1;0;0;0;0
Fluch;0;1;1;0;1;1;0;1;0;0
Fluchen;0;1;1;0;1;0;0;0;0;0
Fluchen;0;0;0;0;0;0;0;0;0;0
Flucht;1;1;0;1;0;1;0;0;0;0
flüchtig;0;1;0;0;0;0;0;0;0;0
flüchtig;0;1;0;0;0;0;0;0;1;0
flüchtig;0;0;0;0;0;0;0;0;0;0
flüchtig;0;0;0;0;0;0;0;0;0;0
flüchtig;0;1;0;0;0;0;0;0;0;0
Flüchtigkeit;0;1;1;1;0;1;0;0;1;0
Flüchtling;0;1;1;0;1;1;0;1;0;1
Flüchtling;0;0;0;0;0;0;0;1;0;0
Flug;0;0;0;0;0;0;0;0;0;0
Flügel;0;0;0;0;0;0;0;0;0;0
Fluggesellschaft;0;0;0;0;0;0;0;0;0;0
Flughafen;0;0;0;1;0;0;0;0;0;0
Flugkörper;0;0;0;0;0;1;0;0;0;0
Flugplatz;0;0;0;0;0;0;0;0;0;0
Flugzeug;0;0;0;0;0;0;0;0;0;0
Flugzeug;0;0;0;0;0;0;0;0;0;0
Flugzeug;0;0;0;0;0;0;0;0;0;0
Fluktuation;0;1;1;0;0;1;0;0;0;0
Flunder;0;1;0;0;0;1;0;1;0;0
Flunkerei;0;1;1;0;0;0;0;0;0;0
Fluoreszenz;0;0;0;0;0;0;0;0;0;0
fluoreszierend;0;0;0;0;0;0;0;0;0;0
Fluss;0;0;0;0;0;0;0;0;0;0
Fluss;0;0;0;0;0;0;0;0;0;0
Flüssiggas;0;0;0;0;0;0;0;0;0;0
Flüssigkeit;0;0;0;0;0;0;0;0;0;0
Flüssigkeit;0;0;0;0;0;0;0;0;0;0
Flüssigkeit;0;0;0;0;0;0;0;0;0;0
Flüstern;0;0;0;0;0;0;0;0;0;0
flüsterte;0;0;0;0;0;0;0;0;0;0
Flut;0;0;0;0;0;1;0;0;0;0
fluvial;0;0;0;0;0;0;0;0;0;0
fob;0;0;0;0;0;0;0;0;0;0
